"Name" "EVBT-20" "EVHCC-1954-luc" "EVHCC-1954" "EVT47D" "RNABT-20" "RNAHCC-1954-luc" "RNAHCC-1954" "RNAT47D" "SerumEV1" "SerumEV2" "SerumEV3" "SerumEV4" "SerumEV5" "SerumEV6" "SerumEV7" "SerumEV8"
"60" "GeneID60" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"61" "GeneID61" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"62" "GeneID62" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"63" "GeneID63" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"64" "GeneID64" 37 190 90 243 19 8 14 5 9 7 145 3 16 10 15 15
"65" "GeneID65" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"66" "GeneID66" 0 0 1 0 0 2 2 2 0 0 0 0 0 0 0 0
"67" "GeneID67" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"68" "GeneID68" 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"69" "GeneID69" 0 0 1 1 60 116 131 787 0 0 0 0 0 0 0 0
"70" "GeneID70" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"71" "GeneID71" 0 0 0 0 4 2 2 17 0 0 0 0 0 0 0 0
"72" "GeneID72" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"73" "GeneID73" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"74" "GeneID74" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"75" "GeneID75" 0 0 0 0 3 4 4 51 0 0 0 0 0 0 0 0
"76" "GeneID76" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"77" "GeneID77" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"78" "GeneID78" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"79" "GeneID79" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"80" "GeneID80" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"81" "GeneID81" 0 0 0 0 0 1 0 12 0 0 0 0 0 0 0 0
"82" "GeneID82" 0 0 0 0 0 3 1 15 0 0 0 0 0 0 0 0
"83" "GeneID83" 0 1 0 0 1 5 5 5 0 0 0 0 0 0 0 0
"84" "GeneID84" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"85" "GeneID85" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"86" "GeneID86" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"87" "GeneID87" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"88" "GeneID88" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"89" "GeneID89" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"90" "GeneID90" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"91" "GeneID91" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"92" "GeneID92" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"93" "GeneID93" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"94" "GeneID94" 9506 48 26 35 15 5 4 0 0 0 0 3 0 0 0 0
"95" "GeneID95" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"96" "GeneID96" 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0
"97" "GeneID97" 0 0 0 0 1 37 9 5 0 0 0 0 0 0 0 1
"98" "GeneID98" 1 0 0 0 9 2 2 1 0 0 0 0 0 0 0 0
"99" "GeneID99" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"100" "GeneID100" 0 0 0 0 0 0 1 7 0 0 0 0 0 0 0 0
"101" "GeneID101" 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0
"102" "GeneID102" 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0
"103" "GeneID103" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"104" "GeneID104" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"105" "GeneID105" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"106" "GeneID106" 0 0 0 0 5 3 2 4 0 0 0 0 0 0 0 0
"107" "GeneID107" 0 0 0 0 3 3 5 5 0 0 0 0 0 0 0 0
"108" "GeneID108" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"109" "GeneID109" 1 0 0 1 2 2 2 1 0 0 0 0 0 0 0 0
"110" "GeneID110" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"111" "GeneID111" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"112" "GeneID112" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"113" "GeneID113" 5 3 0 1 123 132 184 88 0 0 0 0 0 0 0 0
"114" "GeneID114" 157 229 104 93 35675 30910 41822 22587 28 7 7 26 16 12 29 10
"115" "GeneID115" 16 0 0 0 187 1 1 0 0 0 0 1 0 0 0 0
"116" "GeneID116" 0 0 0 0 2 2 4 12 0 0 0 0 0 0 0 0
"117" "GeneID117" 703 105 35 188 109753 1993 4077 5346 42 10 66 88 31 38 96 19
"118" "GeneID118" 21 7 13 5 475 940 900 338 403 18 29 78 100 105 380 32
"119" "GeneID119" 2 0 0 0 104 177 165 92 69 2 4 15 16 13 82 3
"120" "GeneID120" 0 0 0 0 22 10 25 16 0 0 0 0 0 0 0 0
"121" "GeneID121" 0 0 0 0 74 51 53 15 0 0 0 0 0 0 0 0
"122" "GeneID122" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"123" "GeneID123" 3 0 2 0 20 3 3 0 0 0 0 0 0 0 0 0
"124" "GeneID124" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"125" "GeneID125" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"126" "GeneID126" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"127" "GeneID127" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"128" "GeneID128" 0 0 0 0 0 6 10 32 0 0 0 0 0 0 0 0
"129" "GeneID129" 0 0 0 0 2 0 0 5 0 0 0 0 0 0 0 0
"130" "GeneID130" 0 0 0 1 111 73 73 106 0 0 0 0 0 0 0 0
"131" "GeneID131" 0 0 0 0 132 142 108 166 0 0 0 0 0 0 0 0
"132" "GeneID132" 0 1 1 0 65 179 150 117 0 0 0 0 0 0 0 0
"133" "GeneID133" 3 0 0 0 99 1 0 0 0 0 0 0 0 0 0 0
"134" "GeneID134" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"135" "GeneID135" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"136" "GeneID136" 4 0 0 0 31 0 0 8 0 0 0 0 0 0 0 0
"137" "GeneID137" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"138" "GeneID138" 3 0 0 0 64 0 1 0 0 0 0 0 0 0 0 0
"139" "GeneID139" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"140" "GeneID140" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"141" "GeneID141" 0 0 0 0 4 3 3 2 0 0 0 0 0 0 0 0
"142" "GeneID142" 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0
"143" "GeneID143" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"144" "GeneID144" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"145" "GeneID145" 0 0 0 0 3 0 4 3 0 0 0 0 0 0 0 0
"146" "GeneID146" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"147" "GeneID147" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"148" "GeneID148" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"149" "GeneID149" 0 0 0 0 3 0 2 7 0 0 0 0 0 0 0 0
"150" "GeneID150" 0 0 0 0 2 6 7 14 0 0 0 0 0 0 0 0
"151" "GeneID151" 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0
"152" "GeneID152" 0 0 0 0 2 11 9 5 0 0 0 0 0 0 0 0
"153" "GeneID153" 0 0 0 0 2 1 0 4 0 0 0 0 0 0 0 0
"154" "GeneID154" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"155" "GeneID155" 0 0 0 0 14 15 14 14 0 0 0 0 0 0 0 0
"156" "GeneID156" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"157" "GeneID157" 21 15 9 13 2377 2976 3460 2071 12 0 4 4 13 8 7 7
"158" "GeneID158" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"159" "GeneID159" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"160" "GeneID160" 0 0 0 0 110 0 0 3 0 0 0 0 0 0 0 0
"161" "GeneID161" 0 0 0 0 0 2 2 1 0 0 0 0 0 0 0 0
"162" "GeneID162" 0 0 0 0 2 1 1 0 0 0 0 0 0 0 0 0
"163" "GeneID163" 0 0 0 0 7 3 10 1 0 0 0 0 0 0 0 0
"164" "GeneID164" 0 0 0 0 0 1 1 2 0 0 0 0 0 0 0 0
"165" "GeneID165" 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0
"166" "GeneID166" 0 1 0 0 77 24 51 53 0 0 0 0 0 0 0 0
"167" "GeneID167" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"168" "GeneID168" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"169" "GeneID169" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"170" "GeneID170" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"171" "GeneID171" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"172" "GeneID172" 0 0 0 0 17 21 44 24 0 0 0 1 0 0 0 0
"173" "GeneID173" 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"174" "GeneID174" 0 1 0 0 4 7 4 7 0 0 0 0 0 0 0 0
"175" "GeneID175" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"176" "GeneID176" 0 0 1 0 17 24 19 19 0 0 0 0 0 0 0 0
"177" "GeneID177" 1 0 0 0 28 0 1 0 0 0 0 0 0 0 0 0
"178" "GeneID178" 0 0 0 0 5 0 3 4 0 0 0 0 0 0 0 0
"179" "GeneID179" 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0
"180" "GeneID180" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"181" "GeneID181" 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0
"182" "GeneID182" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"183" "GeneID183" 0 0 0 0 125 66 82 173 0 0 0 0 0 0 0 0
"184" "GeneID184" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"185" "GeneID185" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"186" "GeneID186" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"187" "GeneID187" 0 0 0 0 22 0 0 0 0 0 0 0 0 0 0 0
"188" "GeneID188" 2 0 0 0 79 43 51 134 0 0 0 0 0 0 0 0
"189" "GeneID189" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"190" "GeneID190" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"191" "GeneID191" 0 1 0 0 7 3 5 35 0 0 0 0 0 0 0 0
"192" "GeneID192" 1 1 0 0 129 17 20 16 0 0 0 0 0 0 0 0
"193" "GeneID193" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"194" "GeneID194" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195" "GeneID195" 0 0 0 0 2 0 5 4 0 0 0 0 0 0 0 0
"196" "GeneID196" 5 2 2 6 31 37 26 74 4 2 0 1 4 0 0 1
"197" "GeneID197" 146 11 4 13 568 448 430 692 0 0 0 1 0 0 0 0
"198" "GeneID198" 2 2 1 0 308 115 270 258 0 0 0 2 0 1 0 0
"199" "GeneID199" 7 0 0 5 1335 1 0 2342 4 1 2 2 4 1 6 1
"200" "GeneID200" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"201" "GeneID201" 8 3 5 2 827 834 892 459 0 0 0 0 1 1 0 0
"202" "GeneID202" 0 2 0 0 106 90 107 25 2 0 0 0 0 0 0 0
"203" "GeneID203" 2 2 0 0 100 30 27 18 0 0 0 0 0 0 0 0
"204" "GeneID204" 0 0 0 0 4 2 0 2 0 0 0 0 0 0 0 0
"205" "GeneID205" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"206" "GeneID206" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"207" "GeneID207" 0 0 0 0 385 0 0 0 0 0 0 0 0 0 0 0
"208" "GeneID208" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"209" "GeneID209" 0 0 0 1 0 0 0 1 0 0 0 0 0 2 0 0
"210" "GeneID210" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"211" "GeneID211" 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0
"212" "GeneID212" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"213" "GeneID213" 0 0 0 0 18 0 3 0 0 0 0 0 0 0 0 0
"214" "GeneID214" 0 0 0 0 2 3 2 5 0 0 0 0 0 0 0 0
"215" "GeneID215" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"216" "GeneID216" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"217" "GeneID217" 0 0 0 0 0 0 0 19 0 0 0 0 0 0 0 0
"218" "GeneID218" 0 0 1 0 4 9 10 0 0 0 0 0 0 0 0 0
"219" "GeneID219" 0 1 1 0 8 72 85 0 0 0 0 0 0 0 0 1
"220" "GeneID220" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"221" "GeneID221" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"222" "GeneID222" 1 0 1 0 56 3 5 0 0 0 0 0 0 0 0 0
"223" "GeneID223" 1 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0
"224" "GeneID224" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"225" "GeneID225" 2 0 0 0 560 0 0 0 0 0 0 0 0 0 0 0
"226" "GeneID226" 0 0 2 0 6 0 0 1 0 0 0 0 1 1 0 0
"227" "GeneID227" 0 0 0 0 9 0 6 3 0 0 0 0 0 0 0 0
"228" "GeneID228" 0 0 0 1 916 232 358 230 8 1 5 4 13 11 12 2
"229" "GeneID229" 2 0 2 0 41 20 14 11 0 0 0 1 0 2 0 0
"230" "GeneID230" 0 39 24 14 11 4047 5881 1115 13 0 0 12 13 33 16 2
"231" "GeneID231" 0 1 0 1 0 243 311 82 0 0 0 1 1 1 0 0
"232" "GeneID232" 11 2 3 4 176 1 0 1 85 24 33 292 435 266 105 69
"233" "GeneID233" 1 1 0 0 138 0 0 1 27 10 7 91 111 88 37 21
"234" "GeneID234" 78 1 2 4 1428 0 5 0 213 3 4 259 173 259 179 1
"235" "GeneID235" 15 0 0 0 128 0 0 0 2 0 0 2 3 1 3 0
"236" "GeneID236" 0 0 0 0 0 0 0 0 7 1 2 1 2 12 0 2
"237" "GeneID237" 0 0 0 0 0 0 0 0 1 0 2 4 7 11 3 3
"238" "GeneID238" 0 0 0 0 16 0 0 0 0 0 0 0 2 0 0 0
"239" "GeneID239" 5 0 0 0 1072 1 1 1 8 1 0 10 9 2 14 0
"240" "GeneID240" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"241" "GeneID241" 0 0 0 0 0 6 7 0 8 0 0 0 0 0 1 0
"242" "GeneID242" 0 2 3 1 0 0 0 0 0 4 0 0 0 0 0 2
"243" "GeneID243" 0 0 0 0 21 0 0 0 0 0 0 0 0 0 0 0
"244" "GeneID244" 1376 0 0 1 54449 2 4 27 5 1 2 24 25 20 4 2
"245" "GeneID245" 0 0 0 0 9 3 2 6 0 0 0 0 0 0 0 0
"246" "GeneID246" 5 0 0 2 115 10 36 67 2 1 0 0 5 1 4 0
"247" "GeneID247" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"248" "GeneID248" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"249" "GeneID249" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"250" "GeneID250" 0 0 0 0 19 30 42 2 0 0 0 0 0 2 0 0
"251" "GeneID251" 45 39 53 137 1250 1213 1186 2929 66 2 2 34 42 49 60 1
"252" "GeneID252" 0 0 0 0 3 0 1 5 0 0 0 0 0 0 0 0
"253" "GeneID253" 10 18 10 29 1007 1153 1403 2814 6 0 0 4 6 6 7 2
"254" "GeneID254" 0 0 1 0 15 12 11 12 1 0 0 0 0 0 0 0
"255" "GeneID255" 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0
"256" "GeneID256" 3 3 1 6 429 446 734 1194 6 0 2 3 1 2 1 1
"257" "GeneID257" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"258" "GeneID258" 0 0 1 2 6 1 0 2 3 1 4 18 12 29 11 0
"259" "GeneID259" 101 37 20 33 2508 2941 4540 2862 9 0 0 3 4 2 2 0
"260" "GeneID260" 1 1 1 2 253 392 546 414 0 0 1 0 1 0 1 1
"261" "GeneID261" 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0
"262" "GeneID262" 27 0 0 10 1570 168 224 903 18 0 0 5 10 9 13 3
"263" "GeneID263" 0 0 0 0 1 0 1 5 0 0 0 0 0 0 0 0
"264" "GeneID264" 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"265" "GeneID265" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"266" "GeneID266" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"267" "GeneID267" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"268" "GeneID268" 1 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0
"269" "GeneID269" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"270" "GeneID270" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"271" "GeneID271" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"272" "GeneID272" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"273" "GeneID273" 65 0 0 0 2795 0 0 0 2 0 0 7 10 5 2 0
"274" "GeneID274" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"275" "GeneID275" 0 0 0 0 3 2 2 0 0 0 0 0 0 0 0 0
"276" "GeneID276" 4 0 0 1 347 468 545 327 6 0 0 0 8 4 2 0
"277" "GeneID277" 4 2 1 0 127 161 134 157 2 0 0 1 6 2 0 0
"278" "GeneID278" 4 4 2 5 2265 3139 3328 5716 0 0 0 5 8 2 7 4
"279" "GeneID279" 0 0 0 0 13 13 11 9 0 0 0 0 0 0 0 0
"280" "GeneID280" 0 0 0 0 8 20 16 13 0 0 0 0 0 0 0 0
"281" "GeneID281" 541 708 451 573 28436 41654 40063 44489 503 201 199 426 1260 900 684 436
"282" "GeneID282" 1 0 0 0 18 22 23 16 0 0 0 0 1 0 0 0
"283" "GeneID283" 4 6 0 1 286 593 504 337 1 1 0 3 0 0 1 0
"284" "GeneID284" 5 7 1 0 453 98 167 28 0 0 0 0 0 0 0 0
"285" "GeneID285" 2 0 0 1 71 74 81 38 0 0 0 0 0 0 1 0
"286" "GeneID286" 5 7 4 3 1232 1658 2190 1035 0 0 0 2 2 2 2 2
"287" "GeneID287" 0 0 0 0 8 14 17 2 0 0 0 0 0 0 0 0
"288" "GeneID288" 9 6 4 4 918 814 1326 1065 1 0 0 2 2 0 0 0
"289" "GeneID289" 0 0 0 0 11 6 7 1 0 0 0 0 0 0 0 0
"290" "GeneID290" 0 0 0 0 3 1 2 0 0 0 0 0 0 3 0 0
"291" "GeneID291" 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0
"292" "GeneID292" 0 0 0 0 14 9 12 5 1 0 0 0 1 0 1 0
"293" "GeneID293" 0 0 0 0 27 30 68 32 0 0 0 0 0 0 0 0
"294" "GeneID294" 29 140 76 43 2459 7661 9284 3215 1 0 1 1 2 5 0 0
"295" "GeneID295" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"296" "GeneID296" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"297" "GeneID297" 0 0 0 0 18 23 29 15 0 0 0 0 0 0 0 0
"298" "GeneID298" 16 70 51 35 685 2405 3294 1711 0 0 0 3 0 1 0 2
"299" "GeneID299" 5 258 90 952 5 9 19 139 12 19 206 10 12 8 45 17
"300" "GeneID300" 0 0 0 0 11 3 9 5 0 0 0 0 0 0 0 0
"301" "GeneID301" 7 1 2 2 640 366 620 370 6 1 1 4 12 5 1 0
"302" "GeneID302" 0 0 0 0 4 2 2 2 0 0 0 0 0 0 0 1
"303" "GeneID303" 67 13 7 7 3342 656 1123 876 4 2 0 4 8 8 9 4
"304" "GeneID304" 0 0 0 0 2 34 44 111 0 0 0 0 0 0 0 0
"305" "GeneID305" 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0
"306" "GeneID306" 0 0 0 0 0 1 6 0 0 0 0 0 0 0 0 0
"307" "GeneID307" 0 0 0 0 4 16 40 47 0 0 0 0 0 0 0 0
"308" "GeneID308" 1 0 0 0 22 17 14 13 0 0 0 0 0 0 0 0
"309" "GeneID309" 1 1 1 0 47 55 54 26 0 0 0 0 0 1 0 0
"310" "GeneID310" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"311" "GeneID311" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"312" "GeneID312" 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0
"313" "GeneID313" 0 0 0 0 13 0 0 3 0 0 0 0 0 0 0 0
"314" "GeneID314" 0 0 0 0 1 3 3 1 0 0 0 0 0 0 0 0
"315" "GeneID315" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"316" "GeneID316" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
